,review_score,review_comment_message
0,5,Recebi bem antes do prazo estipulado.
1,5,Parabéns lojas lannister adorei comprar pela Internet seguro e prático Parabéns a todos feliz Páscoa
2,4,aparelho eficiente. no site a marca do aparelho esta impresso como 3desinfector e ao chegar esta com outro nome...atualizar com a marca correta uma vez que é o mesmo aparelho
3,4,"Mas um pouco ,travando...pelo valor ta Boa.
"
4,5,"Vendedor confiável, produto ok e entrega antes do prazo."
5,2,"GOSTARIA DE SABER O QUE HOUVE, SEMPRE RECEBI E ESSA COMPRA AGORA ME DECPCIONOU"
6,1,Péssimo
7,5,Loja nota 10
8,5,obrigado pela atençao amim dispensada
9,5,"A compra foi realizada facilmente.
A entrega foi efetuada muito antes do prazo dado.
O produto já começou a ser usado e até o presente,
sem problemas."
10,5,relógio muito bonito e barato.
11,1,Não gostei ! Comprei gato por lebre
12,1,"Sempre compro pela Internet e a entrega ocorre antes do prazo combinado, que acredito ser o prazo máximo. No stark o prazo máximo já se esgotou e ainda não recebi o produto."
13,4,"Recebi exatamente o que esperava. As demais encomendas de outros vendedores atrasaram, mas esta chegou no prazo."
14,5,"Recomendo ,"
15,5,muito boa 
16,5,"Tô completamente apaixonada, loja super responsável e confiável!"
17,1,Nada de chegar o meu pedido.
18,5,Muito bom. muito cheiroso.
19,5,"otimo vendedor chegou ate antes do prazo , adorei o produto"
20,5,Processo de compra tranquilo e eficiente.
21,5,Tomara q dure pois é de pelinho.
22,1,"recebi somente 1 controle Midea Split ESTILO.
Faltou Controle Remoto para Ar Condicionado Consul"
23,5,boa
24,5,MT lindo
25,5,"Ocorreu tudo como contratado sendo a entrega realizada antes do prazo 
 Estou satisfeita
"
26,5,"Amei achei lindo ,muito delicado adorei"
27,4,"Ótima loja para parceria: rápidíssima, produtos bem embalados e de qualidade! Só o custo do frete que foi meio azedo."
28,5,Recomendo o vendedor... 
29,1,"O produto não chegou no prazo estipulado e causou transtorno, pq programei a viagem de férias do meu filho, baseado no prazo. Moro na Bahia e ele em Cuiabá sozinho. Agora, a casa está vazia. "
30,5,"Produto entregue como solicitado, e com muita brevidade. Parabéns!
"
31,3,Eu comprei duas unidades e só recebi uma e agora o que faço?
32,3,"Produto bom, porém o que veio para mim não condiz com a foto do anúncio."
33,1,"Produto muito inferior, mal acabado."
34,5,O kit mochila patrulha canina é lindo!! Meu netinho vai amar!! Obrigada!!
35,5,Maravilha 
36,3,Entrega no prazo
37,5,Cumpriu o prometido na compra e com o uma entrega em tempo satisfatório 
38,1,Pedi reembolso e sem resposta até momento 
39,5,Super rápido.
40,5,"Satisfeito
"
41,5,"estao de parabens... sempre chega com muiiita antecedencia..

Muito obrigada.... "
42,5,OK RECOMENDO
43,3,"Produto chegou, mas meu PC não conseguiu reconhecer as portas USB."
44,5,"Produto de muito boa qualidade, chegou antes do prazo prometido"
