,review_score,comments,sentiment
0,5,receb bem ant praz estipul,1
1,5,parabém loj lannist ador compr internet segur prát parabém tod feliz pásco,1
2,4,aparelh efici sit marc aparelh impress 3desinfec cheg outr nom atual marc corret vez aparelh,1
3,4,pouc trav val ta boa,1
4,5,vend confi produt ok entreg ant praz,1
5,2,gost sab sempr receb compr agor decpcion,0
6,1,péss,0
7,5,loj not 10,1
8,5,obrig atença amim dispens,1
9,5,compr realiz facil entreg efetu ant praz dad produt começ us pres problem,1
10,5,relógi bonit barat,1
11,1,gost compr gat lebr,0
12,1,sempr compr internet entreg ocorr ant praz combin acredit praz máx stark praz máx esgot aind receb produt,0
13,4,receb exat esper demal encomend outr vend atras cheg praz,1
14,5,recom,1
15,5,boa,1
16,5,tô complet apaixon loj sup respons confi,1
17,1,nad cheg ped,0
18,5,bom cheir,1
19,5,otim vend cheg ate ant praz ador produt,1
20,5,process compr tranquil efici,1
21,5,tom q dur poi pel,1
22,1,receb soment 1 control mide split estil falt control remot ar condicion consul,0
23,5,boa,1
24,5,mt lind,1
25,5,ocorr tud contrat send entreg realiz ant praz satisfeit,1
26,5,ame ach lind delic ador,1
27,4,ótim loj parc rápid produt bem embal qual cust fret mei azed,1
28,5,recom vend,1
29,1,produt cheg praz estipul caus transtorn pq program viag férias filh base praz mor bah cuiab so agor cas vaz,0
30,5,produt entreg solicit muit brev parabém,1
31,3,compr dua unidad receb agor faç,0
32,3,produt bom porém vei mim condiz fot anúnci,0
33,1,produt inferi mal acab,0
34,5,kit mochil patrulh canin lind net vai am obrig,1
35,5,maravilh,1
36,3,entreg praz,0
37,5,cumpr promet compr entreg temp satisfatóri,1
38,1,ped reembols respost moment,0
39,5,sup rápid,1
40,5,satisfeit,1
41,5,esta parab sempr cheg muiiit antecedenc obrig,1
42,5,ok recom,1
43,3,produt cheg pc consegu reconhec port usb,0
44,5,produt boa qual cheg ant praz promet,1
45,1,ped bald 128 peç bloc mont 2 un r 25 00 cad entreg vend entreg targaryen tapet eva nº letr 36 peç crianç 1 un r 35 90 entreg,0
46,5,entreg rápid parabém,1
47,1,compr tre pacot cinc folh cad papel transf tec escur so receb doi,0
48,4,falt apen produt receb hoj obrig tud cert att elen,1
49,5,bols térm além lind sup espaç produt acord anunci entreg sup rápid entreg bem ant praz,1
50,2,demor pra entreg,0
51,5,sup rap entreg cheg ant dat,1
52,3,entreg divid dua comunic loj cheg pens hav envi part produt,0
53,1,func faz sincron,0
54,5,recom tod client,1
55,3,gost,0
56,5,otim,1
57,5,gost jog banh estamp flor bord tud bonit ótim produt,1
58,1,cheg apen peç not garant const dua joi,0
59,1,receb produt const sistem receb além pag car fret,0
60,1,compr relógi unissex envi relógi feminin bem men especific anúnci,0
61,5,sempr compr lannist pra mim melhor loj on lin,1
62,5,produt qual excel,1
63,5,ótim cust benefíci,1
64,5,ok,1
65,5,gost atenç entreg,1
66,4,vidr quebr vei caix nenhum proteç dentr caix amass desculp gost compr vc,1
67,1,peç serv,0
68,1,compr produt dia 25 fever hoj dia 29 marc entreg resid sei correi dess brasil péss própr loj demor post,0
69,1,fiz compr faz 30 dia receb aind produt precis melhor entreg,0
70,5,esper receb seman tão extravag porém atraz far desist baratheon,1
71,5,entreg praz cert fiq feliz compr fiz,1
72,5,lind relógi ador,1
73,3,compr doi lustr pend parc targaryen envi lustr abr reclam aind receb respost aguard soluç part loj lannist,0
74,5,bom alt qual,1
75,5,produt bonit entreg bem val dentr praz recom,1
76,5,bom,1
77,1,falt 1 produt receb 1 vei quebr,0
78,5,cheg dentr praz produt excel qual acab dor cost dorm bem,1
79,1,aqu descrev entreg ate agor receb,0
80,5,ach rastre produt dev melhor precis geral ótim experi,1
81,5,aind oportun test,1
82,3,comec us agor,0
83,5,nad declar,1
84,3,compr produt corret cap intern outr,0
85,3,entreg sup rap,0
86,3,fiz ped 4 garraf azeit cheg 2 dia outr 2 quas 48 hor contat loj dificil tant via mail qto telef suspens termin lá compr,0
87,5,produt cheg rap boa qual recom produt,1
88,1,poss aguard cheg produt compr log aconteç opin form,0
89,1,compr doi produt receb soment mand doi email loj nenhum retorn insatisfeit,0
90,3,recomend loj pret volt compr nel mercad entreg após praz quas 1 mê após compr sit lannist costum cheg ant praz estranh,0
91,5,recom,1
92,4,atend expect,1
93,5,entreg ant praz produt prát fácil manusei,1
94,5,otim produt nao vei man problem,1
95,4,peç encaix diâmetr difer serr martel pod cab encaix rest tud ok,1
96,5,excel produt,1
97,5,tud cert,1
98,1,dem entreg detest atend nunc compr baratheon vend mesm bem melhor,0
99,5,produt bom,1
100,1,produt cheg segund rastrei par ribe pret sp,0
101,1,produt deu defeit 1 vez uso,0
102,5,sup recom produt profiss qual,1
103,1,agor receb produt,0
104,1,loj anunc produt entreg outr,0
105,5,bom rap vi ja cheg,1
106,5,produt cheg bem,1
107,5,otim,1
108,3,apes ter sid entreg rapid substitu caix meteor caix born tent reclam lannist sistem estaav ar guit acessóri corret,0
109,5,satisfeit,1
110,4,parabém loj revend apes ter demor pouc,1
111,5,entreg dentr praz bom períod validad,1
112,5,jog toalh lind bonit fot ame,1
113,1,produt entreg uma alç problem falt 1 pin fix,0
114,2,marc dia 14 02 entreg ped rastre marc produt hav sid entreg dat real entreg produt entreg dia 28 02,0
115,2,loj além fret car produt lev quas 30 dia útel cheg cas,0
116,1,receb bem rápid porém vei outr produt ped model vei difer cor vei cap zíp enfim recom,0
117,5,sempr compr stark satisfeit,1
118,5,fiz compr tabel graç deu deu tud cert fic grat pod confi,1
119,1,cancel compr dia ant entreg lig lannist atend sab acontec bagunç agor esper ver vai cobr,0
120,5,produt qual efici entreg receb ant combin recom,1
